"Gene","XCI_status"
"FOXO4","variable"
"CXorf65","variable"
"MED12","inactive"
"NLGN3","inactive"
"ZMYM3","inactive"
"NONO","inactive"
"ITGB1BP2","inactive"
"TAF1","inactive"
"OGT","inactive"
"GCNA","inactive"
"CXCR3","inactive"
"NHSL2","variable"
"RTL5","inactive"
"PIN4","inactive"
"ERCC6L","inactive"
"RPS4X","escape"
"CITED1","inactive"
"HDAC8","inactive"
"PHKA1","inactive"
"NAP1L2","inactive"
"MAP2K4P1","inactive"
"CHIC1","inactive"
"XIST","escape"
"FTX","inactive"
"JPX","escape"
"SLC16A2","inactive"
"RLIM","inactive"
"NEXMIF","inactive"
"ABCB7","inactive"
"UPRT","inactive"
"ZDHHC15","inactive"
"TTC3P1","inactive"
"PBDC1","inactive"
"MAGEE1","variable"
"ATRX","inactive"
"MAGT1","inactive"
"COX7B","variable"
"ATP7A","variable"
"PGK1","inactive"
"CYSLTR1","inactive"
"LPAR4","inactive"
"P2RY10","variable"
"GPR174","variable"
"ITM2A","inactive"
"BRWD3","inactive"
"HMGN5","variable"
"SH3BGRL","variable"
"CYLC1","inactive"
"RPS6KA6","inactive"
"HDX","inactive"
"APOOL","inactive"
"SATL1","inactive"
"ZNF711","variable"
"POF1B","variable"
"CHM","inactive"
"DACH2","variable"
"KLHL4","inactive"
"CPXCR1","escape"
"PCDH11X","variable"
"NAP1L3","escape"
"FAM133A","inactive"
"DIAPH2","inactive"
"DIAPH2-AS1","variable"
"PCDH19","escape"
"TSPAN6","variable"
"SRPX2","variable"
"SYTL4","escape"
"CSTF2","inactive"
"NOX1","escape"
"XKRX","variable"
"ARL13A","inactive"
"TRMT2B","inactive"
"TMEM35A","inactive"
"CENPI","inactive"
"DRP2","inactive"
"TAF7L","escape"
"TIMM8A","inactive"
"BTK","inactive"
"RPL36A","inactive"
"RPL36A-HNRNPH2","inactive"
"GLA","inactive"
"HNRNPH2","inactive"
"ARMCX4","inactive"
"ARMCX1","inactive"
"ARMCX6","inactive"
"ARMCX3","inactive"
"ARMCX2","inactive"
"NXF5","escape"
"ZMAT1","variable"
"TCEAL2","inactive"
"TMSB15A","inactive"
"GPRASP1","inactive"
"GPRASP2","inactive"
"BHLHB9","inactive"
"NXF3","variable"
"BEX4","inactive"
"BEX2","inactive"
"TCEAL7","inactive"
"TCEAL9","variable"
"BEX3","inactive"
"RAB40A","inactive"
"TCEAL4","inactive"
"TCEAL1","inactive"
"MORF4L2","inactive"
"MORF4L2-AS1","variable"
"GLRA4","variable"
"PLP1","inactive"
"RAB9B","inactive"
"TMSB15B","inactive"
"SLC25A53","inactive"
"ZCCHC18","inactive"
"FAM199X","inactive"
"IL1RAPL2","variable"
"NRK","inactive"
"PWWP3B","inactive"
"RADX","inactive"
"TBC1D8B","inactive"
"MORC4","inactive"
"RIPPLY1","inactive"
"CLDN2","inactive"
"RBM41","inactive"
"NUP62CL","variable"
"DNAAF6","escape"
"FRMPD3","variable"
"PRPS1","inactive"
"TSC22D3","inactive"
"MID2","variable"
"PSMD10","inactive"
"ATG4A","inactive"
"COL4A6","variable"
"COL4A5","inactive"
"GUCY2F","variable"
"NXT2","inactive"
"KCNE5","inactive"
"ACSL4","inactive"
"TMEM164","inactive"
"AMMECR1","inactive"
"RTL9","variable"
"CHRDL1","inactive"
"PAK3","inactive"
"CAPN6","inactive"
"DCX","inactive"
"ALG13","variable"
"TRPC5","variable"
"RTL4","escape"
"LHFPL1","inactive"
"AMOT","inactive"
"HTR2C","escape"
"LRCH2","inactive"
"PLS3","variable"
"AGTR2","inactive"
"SLC6A14","inactive"
"KLHL13","inactive"
"WDR44","inactive"
"DOCK11","inactive"
"IL13RA1","inactive"
"LONRF3","inactive"
"KIAA1210","variable"
"PGRMC1","inactive"
"SLC25A43","inactive"
"SLC25A5-AS1","inactive"
"SLC25A5","inactive"
"CXorf56","inactive"
"UBE2A","inactive"
"NKRF","inactive"
"SEPTIN6","inactive"
"RPL39","inactive"
"UPF3B","inactive"
"RNF113A","inactive"
"NDUFA1","inactive"
"AKAP14","variable"
"NKAP","inactive"
"NKAPP1","inactive"
"RHOXF2","inactive"
"ZBTB33","inactive"
"TMEM255A","inactive"
"ATP1B4","inactive"
"LAMP2","inactive"
"CUL4B","inactive"
"MCTS1","inactive"
"C1GALT1C1","inactive"
"GLUD2","inactive"
"GRIA3","variable"
"THOC2","inactive"
"XIAP","inactive"
"STAG2","inactive"
"SH2D1A","variable"
"TENM1","inactive"
"PRR32","escape"
"SMARCA1","inactive"
"OCRL","inactive"
"APLN","inactive"
"XPNPEP2","inactive"
"SASH3","inactive"
"ZDHHC9","inactive"
"UTP14A","inactive"
"BCORL1","inactive"
"ELF4","inactive"
"AIFM1","inactive"
"RAB33A","inactive"
"ZNF280C","variable"
"SLC25A14","inactive"
"RBMX2","inactive"
"ENOX2","inactive"
"ARHGAP36","inactive"
"IGSF1","inactive"
"FIRRE","variable"
"STK26","inactive"
"FRMD7","variable"
"RAP2C","inactive"
"RAP2C-AS1","inactive"
"MBNL3","inactive"
"HS6ST2","escape"
"GPC4","inactive"
"GPC3","inactive"
"PHF6","inactive"
"HPRT1","inactive"
"MIR503HG","inactive"
"PLAC1","variable"
"FAM122B","variable"
"FAM122C","inactive"
"MOSPD1","inactive"
"SMIM10","inactive"
"RTL8C","inactive"
"RTL8A","inactive"
"ZNF75D","inactive"
"ZNF449","inactive"
"INTS6L","inactive"
"MMGT1","inactive"
"SLC9A6","inactive"
"FHL1","inactive"
"MAP7D3","inactive"
"ADGRG4","escape"
"BRS3","variable"
"HTATSF1","inactive"
"VGLL1","escape"
"CD40LG","variable"
"ARHGEF6","inactive"
"RBMX","inactive"
"FGF13","variable"
"F9","variable"
"MCF2","inactive"
"ATP11C","inactive"
"CXorf66","inactive"
"CDR1","inactive"
"LDOC1","inactive"
"MAGEC3","escape"
"SLITRK2","inactive"
"FMR1-AS1","inactive"
"FMR1","inactive"
"FMR1NB","variable"
"AFF2","variable"
"IDS","inactive"
"LINC00893","variable"
"EOLA1","inactive"
"TMEM185A","inactive"
